express,ym
7752.4,2013-01-01
3785.1,2013-02-01
6858.2,2013-03-01
6301.5,2013-04-01
6726.6,2013-05-01
6531,2013-06-01
6570,2013-07-01
6795.8,2013-08-01
7210.6,2013-09-01
6781.6,2013-10-01
8227.4,2013-11-01
8278,2013-12-01
8426.26,2014-01-01
6998.7,2014-02-01
7270.5,2014-03-01
7932.8,2014-04-01
8798.75,2014-05-01
12086.01,2014-06-01
9232.17,2014-07-01
9029.09,2014-08-01
9909.9,2014-09-01
8764.63,2014-10-01
10807.4,2014-11-01
11755.75,2014-12-01
11580.12,2015-01-01
6513.6,2015-02-01
10269.56,2015-03-01
10674.48,2015-04-01
11162.12,2015-05-01
11267.64,2015-06-01
11724.36,2015-07-01
11776.21,2015-08-01
12816.65,2015-09-01
12183.14,2015-10-01
16117.74,2015-11-01
15361.62,2015-12-01
14063.13,2016-01-01
9742.73,2016-02-01
15125.08,2016-03-01
15119.93,2016-04-01
15738.41,2016-05-01
17649.48,2016-06-01
16164.53,2016-07-01
16623.11,2016-08-01
17442.46,2016-09-01
17554.94,2016-10-01
20843.7,2016-11-01
19961.53,2016-12-01
15319.1,2017-01-01
13541.53,2017-02-01
16533.08,2017-03-01
14997.6,2017-04-01
18496.6,2017-05-01
20174.94,2017-06-01
18074.51,2017-07-01
20694.75,2017-08-01
20869,2017-09-01
20244.28,2017-10-01
25484.11,2017-11-01
23022.62,2017-12-01
20025.73,2018-01-01
12214.35,2018-02-01
17933.34,2018-03-01
16462.36,2018-04-01
17820.78,2018-05-01
19158.06,2018-06-01
17782.6,2018-07-01
18085.47,2018-08-01
19184.21,2018-09-01
17690.9,2018-10-01
23295.9,2018-11-01
21221.9,2018-12-01
18237.5,2019-01-01
11712.57,2019-02-01
17873.8,2019-03-01
17323.9,2019-04-01
17411.35,2019-05-01
19419.6,2019-06-01
18563.1,2019-07-01
19381.4,2019-08-01
19571.2,2019-09-01
20031.9,2019-10-01
25240.8,2019-11-01
23949.3,2019-12-01
